Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
1,0.2,1,ADA_DSTree,0.7,0.6,0.648074069840786,0.42857142857142855,0.68,0.3333333333333333,0.6499999999999999,"[[14  6]
 [ 2  3]]"
1,0.2,1,ADA_WSVM,1.0,0.0,0.0,0.0,0.8,0.0,0.5,"[[20  0]
 [ 5  0]]"
1,0.2,1,ImADA1_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,1,ImADA2_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,1,ImADA_12_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,2,ADA_DSTree,0.95,0.8,0.8717797887081347,0.8000000000000002,0.92,0.8,0.875,"[[19  1]
 [ 1  4]]"
1,0.2,2,ADA_WSVM,1.0,0.4,0.6324555320336759,0.5714285714285715,0.88,1.0,0.7,"[[20  0]
 [ 3  2]]"
1,0.2,2,ImADA1_WSVM,0.95,0.8,0.8717797887081347,0.8000000000000002,0.92,0.8,0.875,"[[19  1]
 [ 1  4]]"
1,0.2,2,ImADA2_WSVM,0.95,0.8,0.8717797887081347,0.8000000000000002,0.92,0.8,0.875,"[[19  1]
 [ 1  4]]"
1,0.2,2,ImADA_12_WSVM,0.05,0.2,0.1,0.08000000000000002,0.08,0.05,0.12500000000000003,"[[ 1 19]
 [ 4  1]]"
1,0.2,3,ADA_DSTree,0.95,0.4,0.6164414002968976,0.5,0.84,0.6666666666666666,0.6749999999999999,"[[19  1]
 [ 3  2]]"
1,0.2,3,ADA_WSVM,0.9,0.4,0.6000000000000001,0.4444444444444445,0.8,0.5,0.65,"[[18  2]
 [ 3  2]]"
1,0.2,3,ImADA1_WSVM,0.9,0.4,0.6000000000000001,0.4444444444444445,0.8,0.5,0.65,"[[18  2]
 [ 3  2]]"
1,0.2,3,ImADA2_WSVM,0.9,0.4,0.6000000000000001,0.4444444444444445,0.8,0.5,0.65,"[[18  2]
 [ 3  2]]"
1,0.2,3,ImADA_12_WSVM,0.9,0.4,0.6000000000000001,0.4444444444444445,0.8,0.5,0.65,"[[18  2]
 [ 3  2]]"
1,0.2,4,ADA_DSTree,1.0,0.6,0.7745966692414834,0.7499999999999999,0.92,1.0,0.8,"[[20  0]
 [ 2  3]]"
1,0.2,4,ADA_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,4,ImADA1_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,4,ImADA2_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,4,ImADA_12_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
1,0.2,5,ADA_DSTree,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
1,0.2,5,ADA_WSVM,1.0,0.0,0.0,0.0,0.8,0.0,0.5,"[[20  0]
 [ 5  0]]"
1,0.2,5,ImADA1_WSVM,0.95,0.8,0.8717797887081347,0.8000000000000002,0.92,0.8,0.875,"[[19  1]
 [ 1  4]]"
1,0.2,5,ImADA2_WSVM,0.95,0.8,0.8717797887081347,0.8000000000000002,0.92,0.8,0.875,"[[19  1]
 [ 1  4]]"
1,0.2,5,ImADA_12_WSVM,0.05,0.2,0.1,0.08000000000000002,0.08,0.05,0.12500000000000003,"[[ 1 19]
 [ 4  1]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
2,0.2,1,ADA_DSTree,0.95,0.4,0.6164414002968976,0.5,0.84,0.6666666666666666,0.6749999999999999,"[[19  1]
 [ 3  2]]"
2,0.2,1,ADA_WSVM,0.9,0.4,0.6000000000000001,0.4444444444444445,0.8,0.5,0.65,"[[18  2]
 [ 3  2]]"
2,0.2,1,ImADA1_WSVM,0.95,0.4,0.6164414002968976,0.5,0.84,0.6666666666666666,0.6749999999999999,"[[19  1]
 [ 3  2]]"
2,0.2,1,ImADA2_WSVM,0.95,0.4,0.6164414002968976,0.5,0.84,0.6666666666666666,0.6749999999999999,"[[19  1]
 [ 3  2]]"
2,0.2,1,ImADA_12_WSVM,0.95,0.4,0.6164414002968976,0.5,0.84,0.6666666666666666,0.6749999999999999,"[[19  1]
 [ 3  2]]"
2,0.2,2,ADA_DSTree,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,2,ADA_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,2,ImADA1_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,2,ImADA2_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,2,ImADA_12_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,3,ADA_DSTree,0.75,0.6,0.6708203932499369,0.4615384615384615,0.72,0.375,0.675,"[[15  5]
 [ 2  3]]"
2,0.2,3,ADA_WSVM,0.85,1.0,0.9219544457292888,0.7692307692307693,0.88,0.625,0.9249999999999999,"[[17  3]
 [ 0  5]]"
2,0.2,3,ImADA1_WSVM,0.85,1.0,0.9219544457292888,0.7692307692307693,0.88,0.625,0.9249999999999999,"[[17  3]
 [ 0  5]]"
2,0.2,3,ImADA2_WSVM,0.85,1.0,0.9219544457292888,0.7692307692307693,0.88,0.625,0.9249999999999999,"[[17  3]
 [ 0  5]]"
2,0.2,3,ImADA_12_WSVM,0.85,1.0,0.9219544457292888,0.7692307692307693,0.88,0.625,0.9249999999999999,"[[17  3]
 [ 0  5]]"
2,0.2,4,ADA_DSTree,0.95,0.6,0.7549834435270749,0.6666666666666665,0.88,0.75,0.775,"[[19  1]
 [ 2  3]]"
2,0.2,4,ADA_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,4,ImADA1_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,4,ImADA2_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,4,ImADA_12_WSVM,0.95,1.0,0.9746794344808963,0.9090909090909091,0.96,0.8333333333333334,0.975,"[[19  1]
 [ 0  5]]"
2,0.2,5,ADA_DSTree,1.0,0.6,0.7745966692414834,0.7499999999999999,0.92,1.0,0.8,"[[20  0]
 [ 2  3]]"
2,0.2,5,ADA_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
2,0.2,5,ImADA1_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
2,0.2,5,ImADA2_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
2,0.2,5,ImADA_12_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
3,0.2,1,ADA_DSTree,0.95,0.6,0.7549834435270749,0.6666666666666665,0.88,0.75,0.775,"[[19  1]
 [ 2  3]]"
3,0.2,1,ADA_WSVM,1.0,0.6,0.7745966692414834,0.7499999999999999,0.92,1.0,0.8,"[[20  0]
 [ 2  3]]"
3,0.2,1,ImADA1_WSVM,1.0,0.6,0.7745966692414834,0.7499999999999999,0.92,1.0,0.8,"[[20  0]
 [ 2  3]]"
3,0.2,1,ImADA2_WSVM,1.0,0.6,0.7745966692414834,0.7499999999999999,0.92,1.0,0.8,"[[20  0]
 [ 2  3]]"
3,0.2,1,ImADA_12_WSVM,0.0,0.4,0.0,0.14814814814814814,0.08,0.09090909090909091,0.2,"[[ 0 20]
 [ 3  2]]"
3,0.2,2,ADA_DSTree,1.0,0.6,0.7745966692414834,0.7499999999999999,0.92,1.0,0.8,"[[20  0]
 [ 2  3]]"
3,0.2,2,ADA_WSVM,0.95,0.6,0.7549834435270749,0.6666666666666665,0.88,0.75,0.775,"[[19  1]
 [ 2  3]]"
3,0.2,2,ImADA1_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
3,0.2,2,ImADA2_WSVM,0.9,0.6,0.7348469228349535,0.6,0.84,0.6,0.7500000000000001,"[[18  2]
 [ 2  3]]"
